,context_recall,faithfulness,factual_correctness,answer_relevancy,experiment_name
0,1.0,0.9166666666666666,0.83,0.9851419865084236,naive_chunker_cosine
1,1.0,0.8333333333333334,0.4,0.8302207185399654,naive_chunker_cosine
2,1.0,1.0,0.89,0.8723441511267446,naive_chunker_cosine
3,1.0,1.0,0.9,0.9449214343033043,naive_chunker_cosine
4,1.0,0.7692307692307693,0.67,0.979184185168941,naive_chunker_cosine
5,1.0,0.9473684210526315,0.68,0.9896908981079807,naive_chunker_cosine
6,1.0,0.8888888888888888,0.9,0.9797170607738526,naive_chunker_cosine
7,1.0,0.75,,0.9423998080929742,naive_chunker_cosine
8,1.0,0.6666666666666666,0.52,0.0,naive_chunker_cosine
9,1.0,1.0,0.67,0.966689860062898,naive_chunker_cosine
10,1.0,1.0,0.57,0.9495383613481855,naive_chunker_cosine
11,1.0,1.0,0.96,0.9851983723199074,naive_chunker_cosine
12,1.0,1.0,0.8,0.99841308621986,naive_chunker_cosine
13,1.0,1.0,0.49,0.0,naive_chunker_cosine
14,0.25,0.0,0.0,0.0,naive_chunker_cosine
15,1.0,0.65625,0.96,0.9335036848299009,naive_chunker_cosine
16,1.0,0.75,0.75,0.9250944353982642,naive_chunker_cosine
17,1.0,1.0,0.85,0.8719932461546533,naive_chunker_cosine
18,0.6666666666666666,0.53125,0.76,0.9592377067960257,naive_chunker_cosine
19,1.0,0.96,0.78,,naive_chunker_cosine
20,1.0,0.9642857142857143,0.91,0.969821717862312,naive_chunker_cosine
21,1.0,1.0,0.91,0.9779905542842376,naive_chunker_cosine
0,1.0,1.0,0.96,0.9653195886937244,naive_chunker_multi_query
1,1.0,1.0,0.43,0.832641563065892,naive_chunker_multi_query
2,1.0,1.0,0.86,0.8492834716561458,naive_chunker_multi_query
3,1.0,0.9375,0.87,0.94212958284995,naive_chunker_multi_query
4,1.0,1.0,0.82,0.9791646815518015,naive_chunker_multi_query
5,1.0,1.0,0.73,0.9897261341595683,naive_chunker_multi_query
6,1.0,1.0,0.9,0.9797170607738526,naive_chunker_multi_query
7,1.0,1.0,,0.9588315204732362,naive_chunker_multi_query
